"","SampleID","D_mean","D_meanNorm","State","Pseudotime"
"80","11329_TCX",1.37788073945382,0.0555978116970935,"8",103.25732688129
"81","11337_TCX",4.76682078934647,0.314099633244909,"1",13.8155634716706
"82","11263_TCX",0.714072837204763,0.163563886260131,"5",88.596428476801
"83","11265_TCX",2.97486517694651,0.136057202574386,"1",11.461119331062
"84","11338_TCX",1.72968521532222,0.024888179573697,"9",103.583459303855
"85","11316_TCX",15.7357456025243,0.507303459349077,"3",34.6538434671311
"86","11327_TCX",4.21606111067459,0.259378081423249,"1",7.970296898445
"87","11266_TCX",1.89666059184687,0.51311140228259,"5",89.0977274056784
"88","11325_TCX",7.78974412703573,0.219060745992619,"3",42.5681261127777
"89","11290_TCX",0.819411130330963,0.194699621058477,"5",87.6271833169661
"90","11321_TCX",1.46394142987691,0.475413396931676,"2",21.1919518199734
"91","1045_TCX",22.6776466731249,0.759122239727412,"3",72.7916798914618
"92","1078_TCX",4.67648478283813,0.305124164173846,"1",13.2996441886557
"93","1089_TCX",15.3818440741221,0.494465614160859,"3",34.8739971930113
"94","1098_TCX",1.50269118095903,0,"9",101.699589391543
"95","1119_TCX",15.902659300697,0.513358285465844,"3",34.6501391778037
"96","1121_TCX",4.37087868126709,0.0950407523229862,"3",46.8699878653161
"97","11253_TCX",3.99698714043262,0.273480692668787,"9",106.916328340188
"98","11254_TCX",23.709073396155,0.796537440088456,"3",26.704004666699
"99","11259_TCX",2.77005952499935,0.138957356394784,"9",100.979834250055
"100","11271_TCX",2.05224371791479,0.0602542805290314,"9",101.337477743824
"101","11276_TCX",1.90524864930841,0.105569679635382,"8",101.423698450445
"102","11279_TCX",0.160704153044306,0,"5",87.9951768915671
"103","11281_TCX",4.17633845004287,0.293145207698358,"9",107.415011322705
"104","11287_TCX",4.30709024988089,0.268422417730457,"1",9.20626926224165
"105","11293_TCX",5.09913251834163,0.347116962224046,"1",8.33868542020022
"106","11300_TCX",0.910356814592729,0.221581210100708,"5",87.9769761392982
"107","11307_TCX",0.242508619206136,0,"7",85.3606700172644
"108","11314_TCX",21.8574684249899,0.72937011793287,"3",72.0787953510921
"109","11322_TCX",4.43932416213095,0.321979602602731,"9",107.656475144682
"110","11323_TCX",4.43047642314607,0.321009514920494,"9",106.81581564145
"111","11340_TCX",23.4891748174122,0.788560577361264,"3",73.696327937078
"112","11344_TCX",1.55876380708154,0.413236377090533,"5",89.4780294216852
"113","11345_TCX",1.66587564136498,0.0828873811537806,"8",104.214920145439
"114","11346_TCX",0.36255976653884,0.0596641796900372,"5",87.7376690977993
"115","11353_TCX",25.655245110883,0.867135188835576,"3",75.7604171693964
"116","11355_TCX",1.69691666998391,0.0212953563392159,"9",101.506640897567
"117","11357_TCX",4.47832000226246,0.0989382066571995,"3",54.6063544298653
"118","11358_TCX",4.57901079470856,0.947039081129406,"7",89.8354150152459
"119","1137_TCX",2.16829314564549,0.0729782228338987,"9",104.982667328508
"120","1200_TCX",18.3276023067718,0.601323553778707,"3",33.0651965322717
"121","1203_TCX",21.61409492049,0.720541697813326,"3",71.8280740826242
"122","1271_TCX",15.431677448037,0.496273329268548,"3",34.642730599149
"123","134_TCX",0.574835634537576,0.0828958308968802,"2",22.8958881831291
"124","135_TCX",9.64059948369124,0.286200875739438,"3",59.75945080769
"125","1932_TCX",6.16787168607163,0.509483591504937,"8",108.931671989717
"126","1937_TCX",5.97401615090371,0.490246975417379,"9",97.4222683287301
"127","6819_TCX",10.5532959165315,0.925033791664697,"8",92.224963474122
"128","6914_TCX",1.75088544918813,0,"3",51.7897005725853
"129","6929_TCX",1.60487977958088,0.0112042071943435,"9",101.590059780649
"130","742_TCX",22.8286052916415,0.764598292298005,"3",73.0067680262434
"131","783_TCX",14.5024871332028,0.462566774040922,"3",35.5285611109245
"132","843_TCX",5.68722990992004,0.405548258369479,"1",8.18061563305191
"133","851_TCX",0.973847129077509,0.240347582095111,"5",88.3235042206261
"134","871_TCX",1.88906322437133,0.0423627732141903,"9",103.274277284623
